"","gnis_id","Parkname","Region","State","Unit Code","Unit Name","Unit Type","Visitors","YearRaw","lon","lat","Gnis Id"
"170","262358","Lava Beds","PW","CA","LABE","Lava Beds National Monument","National Monument",127699,"2016",-121.517809900471,41.7587695661037,"262358"
"171","1888975","Women's Rights","NE","NY","WORI","Women's Rights National Historical Park","National Historical Park",52683,"2016",-76.8445160800246,42.9026286361832,"1888975"
"172","447197","George Rogers Clark","MW","IN","GERO","George Rogers Clark National Historical Park","National Historical Park",126095,"2016",-87.5370131268208,38.6784094160172,"447197"
"173","2733437","Longfellow","NE","MA","LONG","Longfellow House-Washington's Headquarters National Historic Site","National Historic Site",49697,"2016",-71.1263701738765,42.3769972104401,"2733437"
"174","1193717","Hopewell Furnace","NE","PA","HOFU","Hopewell Furnace National Historic Site","National Historic Site",54167,"2016",-75.7681181299732,40.2060815542954,"1193717"
"175","1877541","Franklin Delano Roosevelt","NC","DC","FRDE","Franklin Delano Roosevelt Memorial","National Memorial",4360502,"2016",-77.0431177199504,38.8834205243228,"1877541"
"176","31964","Montezuma Castle","IM","AZ","MOCA","Montezuma Castle National Monument","National Monument",392168,"2016",-111.83662637222,34.6110260598417,"31964"
"177","255948","Kings Canyon","PW","CA","KICA","Kings Canyon National Park","National Park",607479,"2016",-118.587343618432,36.8990901385146,"255948"
"178","1888963","Springfield Armory","NE","MA","SPAR","Springfield Armory National Historic Site","National Historic Site",22434,"2016",-72.5811266636158,42.1083129692409,"1888963"
"179","1531185","Whitman Mission","PW","WA","WHMI","Whitman Mission National Historic Site","National Historic Site",50148,"2016",-118.465501451514,46.0426568792306,"1531185"
"180","1989142","World War II Memorial","NC","DC","WWII","World War II Memorial","National Memorial",4856532,"2016",-77.0403781914532,38.8892469596001,"1989142"
