Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
9/4/18,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,15-24,Photographing
9/4/18,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
9/4/18,New River Gorge National River,Suicide,Suicide,Intentional,Fatal injury,Male,15-24,Suicide
9/4/18,New River Gorge National River,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Not Reported
9/5/18,Shenandoah National Park,Homicide,Homicide,Intentional,Fatal Injury,Female,0-14,Homicide
9/5/18,Shenandoah National Park,Homicide,Homicide,Intentional,Fatal Injury,Female,45-54,Homicide
9/5/18,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Driving 
9/5/18,Rocky Mountain National Park,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
9/7/18,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Swimming
9/7/18,Glen Canyon National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Vessel Related
9/9/18,Big South Fork National River and Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Hiking
9/9/18,Great Smoky Mountains National Park,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Male,25-34,Other
9/10/18,Canaveral National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
9/12/18,Sleeping Bear Dunes National Lakeshore,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,65+,Walking
9/12/18,Redwood National and State Parks,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
9/12/18,White Sands National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Hiking
9/13/18,Golden Gate National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sitting
9/14/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Illegal activity
9/14/18,Grand Teton National Park,Widlife incident ,Wildlife Incident,Unintentional,Fatal Injury,Male,35-44,Hunting
9/15/18,Cape Cod National Seashore,Widlife incident ,Wildlife Incident,Unintentional,Fatal Injury,Male,25-34,Vessel Related
9/17/18,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
9/17/18,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
9/17/18,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,65+,Driving 
9/19/18,Pictured Rocks National Lakeshore,Fall,Fall,Unintentional,Fatal Injury,Female,25-34,Photographing
9/19/18,Arches National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
9/19/18,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,45-54,Other
9/22/18,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
9/24/18,Natchez Trace Parkway,Homicide,Homicide,Intentional,Fatal Injury,Male,15-24,Homicide
9/25/18,Yosemite National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Driving 
9/25/18,Olympic National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sleeping
9/25/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Illegal activity
